№,Назвaние,Тикер,isin,RIC,Нaзвание,"Капитал, млрд $",Биржа,№ ,Сектор,№  ,Отрасль,"Объем, млн. шт","Цена, $",  ,MAX,MIN,CP,MAX ,MIN ,CP , MAX , MIN , CP , MAX  , MIN  , CP  ,  MAX  ,  MIN  ,  CP  ,  MAX   ,  MIN   ,  CP   ,   MAX   ,   MIN   ,   CP   , ,Описание,Рост/Спад
2276,US,ZFSVF,CH0011075394,ZFSVF.PK,Zurich Insurance Group AG,105.746161,PNK,2,Financials,1,Multiline Insurance & Brokers,0.0,690.0,,734.43,0.0,536.88,791.41,669.0,719.24,791.41,566.46,693.54,791.41,477.21,624.38,791.41,425.75,575.52,791.41,383.0,518.85,791.41,203.76,429.57,,"Zurich Insurance Group AG — холдинговая компания. Компания и ее дочерние компании предоставляют страховые продукты и сопутствующие услуги. Его сегменты включают общее страхование, глобальную жизнь, фермерство, другие операционные предприятия и непрофильные виды деятельности. Сегмент общего страхования предоставляет широкий спектр продуктов и услуг по автомобильному, домашнему и коммерческому страхованию для частных лиц, а также малого и крупного бизнеса. Сегмент Global Life занимается предоставлением юнит-связанных, защитных и корпоративных предложений через глобальную дистрибуцию и основные направления предложений. Сегмент «Фермеры» через Farmers Group, Inc. и ее дочерние компании предоставляет определенные административные и управленческие услуги, не связанные с претензиями, Фермерской страховой бирже, Бирже пожарного страхования, Бирже страхования грузовых автомобилей, а также их дочерним компаниям и филиалам. Сегмент «Прочие операционные виды деятельности» включает холдинговую и финансовую деятельность Компании. Сегмент «Непрофильный бизнес» включает страховой и перестраховочный бизнес.",
2278,US,AXAHF,FR0000120628,AXAHF.PK,AXA SA,100.409831,PNK,110,Финансы,1,Страхование жизни и здоровья,0.0,48.5,,50.79,0.0,30.06,50.76,43.32,46.74,50.76,34.12,44.71,50.76,31.1,39.9,50.76,27.5,36.54,50.76,20.46,32.15,50.76,12.52,28.09,,"AXA SA (AXA) — французская холдинговая компания, занимающаяся финансовой защитой. AXA предлагает широкий спектр продуктов в бизнес-сегментах: жизнь и сбережения, недвижимость и страхование от несчастных случаев, здравоохранение, управление активами и банковское дело. Его предложение охватывает страхование автомобилей, домохозяйств, имущества и гражданской ответственности, банковское дело, сберегательные транспортные средства и другие инвестиционные продукты как для частных/индивидуальных, так и для коммерческих/групповых клиентов, а также продукты для здоровья, защиты и пенсионного обеспечения для индивидуальных или профессиональных клиентов. AXA работает в семи географических сегментах: Франция, Европа, Азия, AXA XL, США, международные и трансверсальные и центральные холдинги. AXA SA является холдинговой компанией AXA Group.",
2293,US,PPCCY,US69338J1060,PPCCY.PK,PICC Property and Casualty Co Ltd,39.882953,PNK,111,Финансы,1,Страхование имущества и от несчастных случаев,0.0,44.07,,49.07,43.07,46.15,66.76,47.08,56.75,66.76,35.39,50.7,66.76,28.2,42.27,66.76,21.82,37.14,66.76,18.22,31.35,66.76,16.76,29.49,,"PICC Property and Casualty Co Ltd — китайская компания, занимающаяся главным образом страхованием имущества и страхованием от несчастных случаев. Компания осуществляет свою деятельность в шести сегментах. Сегмент «Автомобили» предоставляет страховые продукты, охватывающие автотранспортные средства. Сегмент «Случайные травмы и здоровье» предоставляет страховые продукты, покрывающие несчастные случаи и медицинские расходы. Сегмент «Сельское хозяйство» предоставляет страховые продукты, охватывающие сельскохозяйственный бизнес. Сегмент «Обязательства» предоставляет страховые продукты, покрывающие обязательства страхователей. Сегмент коммерческой недвижимости предоставляет страховые продукты, охватывающие коммерческую недвижимость. Сегмент «Прочие» представляет страховые продукты, связанные с грузами, кредитами и поручительствами, домашним имуществом, особыми рисками, корпусом и строительством морских судов. Компания в основном осуществляет свою деятельность на внутреннем рынке.",
2302,US,JPPHY,US47109W1009,JPPHY.PK,Japan Post Holdings Co Ltd,32.112274,PNK,112,Финансы,2,Страхование жизни и здоровья,0.0,11.82,,13.44,0.0,10.7,10.89,8.88,9.84,11.9,8.15,9.74,11.9,8.15,9.65,11.9,6.99,9.14,11.9,6.53,8.38,12.01,6.53,8.43,,"Japan Post Holdings Co Ltd — японская компания, которая в основном занимается почтовыми и логистическими услугами, услугами почтовых отделений, международной логистикой, банковским делом и страхованием жизни. Компания имеет пять бизнес-сегментов. Сегмент «Почта и логистика» занимается почтовым бизнесом, логистическим бизнесом и другими. Сегмент почтовых счетчиков включает в себя встречные услуги, связанные с почтовыми и логистическими услугами, банковскими счетчиками, услугами страховых счетчиков, продажей товаров, бизнесом с недвижимостью и сопутствующими финансовыми услугами. Сегмент международной логистики занимается экспресс-доставкой и логистикой на мировых рынках с центром в Австралии. Банковский сегмент занимается банковским бизнесом, таким как управление фондами, финансирование и другой бизнес. Сегмент «Страхование жизни» в основном занимается бизнесом по страхованию жизни. Компания также занимается совместным бизнесом группы, больничным бизнесом, гостиничным бизнесом и инвестициями.",
2319,US,UFGSY,US90914M3051,UFGSY.PK,Unipol Assicurazioni SpA,18.701199,PNK,113,Финансы,1,Многолинейное страхование и брокеры,0.0,13.52,,13.52,0.0,4.84,11.99,9.67,10.76,11.99,6.88,9.83,11.99,4.73,9.74,11.99,2.53,9.48,11.99,1.98,8.78,11.99,0.0,7.97,,"Unipol Assicurazioni SpA, ранее Unipol Gruppo SpA, — страховая компания со штаб-квартирой в Италии. Деятельность компании включает в себя такие сектора, как мобильность, жилье, защита и сбережения. Сектор мобильности фокусируется на страховании автомобилей, мотоциклов, страховании других транспортных средств, морском страховании, страховании путешествий и услугах мобильности, таких как долгосрочная аренда unipolrental и электронные сборы за проезд unipolmove. Сектор жилья включает страхование жилья, страхование кондоминиума, страхование собак/кошек и страхование юридической защиты. Сектор защиты включает страхование от несчастных случаев, медицинское страхование, страхование автономии (долгосрочный уход) и страхование жизни. Сберегательный сектор включает в себя инвестиции, сберегательный план и социальное обеспечение. Компания предлагает также мобильные решения, бизнес-решения, а также решения для сотрудников и партнеров среди компаний и других.",
2321,US,MPFRY,US5651001043,MPFRY.PK,Mapfre SA,14.834002,PNK,114,Финансы,2,Многолинейное страхование и брокеры,0.0,10.15,,10.15,0.0,2.26,10.2,7.77,9.06,10.2,5.06,8.41,10.2,4.12,6.76,10.2,3.87,6.28,10.2,3.03,5.52,30.0,2.93,5.55,,"Mapfre SA — испанская компания, работающая в страховом секторе. Деятельность компании разделена на четыре бизнес-единицы: страхование, ассистанс, перестрахование и глобальные риски. Линия страхования предлагает полисы страхования, включая страхование жизни, от несчастных случаев, здоровья, имущества и от несчастных случаев, а также автомобильное страхование и другие. Линия помощи ориентирована на разработку услуг по оказанию помощи для страховых продуктов, включая помощь на дорогах и в поездках. Линия перестрахования отвечает за деятельность по перестрахованию. Линия Global Risks предлагает комплексные страховые услуги, такие как предотвращение и защита рисков, аудит и контроль, для бизнес-клиентов. Кроме того, Компания активно управляет пенсионными фондами, пенсионными планами и инвестиционными фондами, а также предоставляет медицинские услуги в Испании. Компания работает в Европе, Африке, Азии и Америке. Это материнская компания Mapfre Group.",
2325,US,GJNSY,US37636X1019,GJNSY.PK,Gjensidige Forsikring ASA,13.721499,PNK,115,Финансы,3,Многолинейное страхование и брокеры,0.0,26.56,,29.31,0.0,22.29,31.05,24.49,27.88,31.05,16.7,25.17,31.05,13.39,20.98,31.05,13.39,19.45,31.05,13.39,20.26,31.05,13.39,19.43,,"Gjensidige Forsikring ASA — норвежская компания общего страхования. Это материнская компания группы Gjensidige. В портфель продуктов компании входят такие виды страхования, как страхование автомобиля, дома, загородного дома, личного имущества, лодок, ценностей, жизни и здоровья, домашних животных, путешествий, обучения за рубежом и молодёжи. Компания осуществляет операции по общему страхованию в Норвегии, Дании, Швеции и странах Балтии, а также пенсионную деятельность в Норвегии. К операциям общего страхования относятся как страхование имущества, так и страхование от несчастных случаев и медицинское страхование. Норвежское общее страхование также включает страхование жизни, которое представляет собой страхование чистого риска сроком до одного года, в основном групповое страхование жизни.",
2328,US,AGESY,US00844W2089,AGESY.PK,Ageas SA,16.912167,PNK,116,Финансы,4,Многолинейное страхование и брокеры,0.0,79.07,,81.33,70.74,77.93,73.61,65.42,68.58,73.61,47.48,63.86,73.61,40.42,55.78,73.61,37.91,51.48,73.61,33.91,50.75,73.61,26.91,48.2,,"Ageas SA — международная страховая компания со штаб-квартирой в Бельгии. Бизнес-сегменты компании включают Бельгию; Европа (кроме Бельгии); Азия; Перестрахование; и общий счет. Бельгийская страховая деятельность осуществляется под названием AG Insurance. Компания в Соединенном Королевстве является национальным поставщиком решений по страхованию иному, чем страхование жизни. Европейский сегмент Компании включает страховую деятельность Компании в Европе, за исключением Бельгии и Великобритании. Компания работает в ряде стран Азии, ее региональный офис и дочерняя компания находятся в Гонконге. Сегмент перестрахования осуществляет свою деятельность через Intreas NV, дочернюю компанию Компании, которая выполняет функции внутреннего перестрахования. Общий счет включает в себя деятельность, не связанную с основной страховой деятельностью, такую ​​как групповое финансирование и другая холдинговая деятельность.",
2329,US,RZB,US7593518027,RZB.N,Reinsurance Group of America Inc,13.752353,NYS,117,Финансы,1,Перестрахование,0.0,25.18,,25.21,24.91,25.1,25.24,24.61,24.91,25.24,24.17,24.83,25.71,24.17,24.95,26.39,23.26,24.97,29.39,22.67,25.85,30.35,12.03,26.41,,"Reinsurance Group of America, Incorporated — страховая холдинговая компания. Компания является поставщиком традиционных решений по перестрахованию жизни и здоровья, а также финансовых решений. Традиционный сегмент США и Латинской Америки обеспечивает индивидуальное и групповое перестрахование жизни и здоровья, включая долгосрочный уход, для отечественных клиентов по различным продуктам. Сегмент Canada Traditional занимается в основном индивидуальным перестрахованием жизни и, в меньшей степени, кредиторским, групповым перестрахованием жизни и здоровья, критических заболеваний и инвалидности. Традиционный сегмент Европы, Ближнего Востока и Африки предоставляет индивидуальные и групповые продукты для жизни и здоровья на основе ежегодных возобновляемых договоров, соглашений о совместном страховании, а также перестрахования критических заболеваний. Традиционный сегмент Азиатско-Тихоокеанского региона обеспечивает индивидуальное и групповое перестрахование жизни и здоровья, страхование критических заболеваний, инвалидность и пенсионное обеспечение посредством ежегодных возобновляемых договоров страхования и соглашений о совместном страховании.",
2337,US,IAUGY,US4578742045,IAUGY.PK,Insurance Australia Group Ltd,12.223884,PNK,118,Финансы,2,Страхование имущества и от несчастных случаев,0.0,26.33,,27.4,0.0,11.18,29.28,24.27,26.65,29.39,20.9,25.68,29.39,17.99,23.57,29.39,14.9,20.99,29.39,13.79,19.59,32.42,13.79,20.64,,"Insurance Australia Group Limited — компания общего страхования в Австралии и Новой Зеландии. Компания занимается андеррайтингом общих страховых рисков и управлением инвестициями. Его сегмент розничного страхования в Австралии включает личные линии и некоторые коммерческие линии, продукты общего страхования, продаваемые напрямую клиентам, в основном под брендом NRMA Insurance по всей Австралии (за исключением VIC), бренд RACV в Виктории (через дистрибьюторские отношения и совместное андеррайтинговое предприятие с RACV) и страховой бренд ROLLiN. Сегмент промежуточного страхования в Австралии включает коммерческие линии и некоторые личные линии, а также продукты общего страхования, продаваемые клиентам через посредников, включая брокеров, агентов, уполномоченных представителей, в основном под брендами CGU Insurance и WFI Insurance. Новая Зеландия включает в себя другие виды деятельности, включая корпоративные услуги, деятельность по управлению капиталом, инвестиционную деятельность в фонды акционеров и другие.",
2338,US,TDHOY,US8721201007,TDHOY.PK,T&D Holdings Inc,11.549517,PNK,119,Финансы,3,Страхование жизни и здоровья,0.0,11.73,,13.32,0.0,8.17,13.77,9.86,11.85,13.77,8.2,11.04,13.77,6.96,9.73,13.77,5.73,9.06,13.77,4.39,7.94,13.77,3.06,7.04,,"T&D Holdings Inc — японская компания, занимающаяся преимущественно страхованием жизни. Компания управляет четырьмя бизнес-сегментами. Сегмент Taiyo Life Insurance предоставляет услуги по страхованию жизни на рынке домашних хозяйств. Сегмент страхования жизни Daido предоставляет услуги по страхованию жизни рынку малого и среднего бизнеса. Сегмент финансового страхования жизни T&D использует рынок пансионных агентств в качестве соответствующего рынка сбыта и имеет различные продукты продаж в рамках собственной политики продаж. Сегмент T&D United Capital занимается стратегическими инвестициями в бизнес по страхованию жизни и новые направления роста бизнеса.",
2344,US,PNXGF,GB00BGXQNP29,PNXGF.PK,Standard Life PLC,10.417281,PNK,120,Финансы,4,Страхование жизни и здоровья,0.0,10.01,,10.24,0.0,2.83,10.36,8.35,9.06,10.36,5.89,8.09,10.36,5.89,7.56,10.36,5.42,7.32,10.4,5.42,7.53,10.4,5.32,7.76,,"Standard Life PLC, ранее называвшаяся Phoenix Group Holdings PLC, является компанией, занимающейся сбережениями и пенсионным обеспечением. Продукты компании включают в себя различные пенсии, облигации и пенсионные варианты, отвечающие потребностям людей. Индивидуальный пенсионный продукт Компании предлагает гибкие выплаты, пенсионные переводы, отсутствие скрытых платежей, удобные варианты инвестирования и вывода денег. Варианты сбережений включают международные облигации (оффшорные) и индивидуальные инвестиционные облигации (оншорные). Международная облигация представляет собой оффшорную облигацию, предоставляемую Standard Life International DAC в Дублине клиентам из Великобритании. Оффшорные облигации — это эффективный с точки зрения налогообложения способ инвестировать деньги в среднесрочной и долгосрочной перспективе. Обычно это более пяти лет и более. Индивидуальные инвестиционные облигации, также известные как оншорные облигации, являются вариантом, если мы хотим привлечь деньги в среднесрочной и долгосрочной перспективе. Обычно это означает инвестирование на пять лет или более. Компания также предоставляет финансовые консультации.",
2345,US,VNRFY,US9266271009,VNRFY.PK,Vienna Insurance Group Wiener Versicherung Gruppe AG,9.736065,PNK,121,Финансы,5,Многолинейное страхование и брокеры,0.0,15.0,,15.0,0.0,1.35,16.04,9.87,11.38,16.04,9.87,11.29,16.04,5.5,8.66,16.04,5.06,8.06,16.04,4.27,6.79,16.04,3.09,5.76,,"Vienna Insurance Group AG Wiener Versicherung Gruppe (VIG) — австрийская холдинговая компания страховой группы, действующая преимущественно в Центральной и Восточной Европе. В состав VIG входят около 50 страховых компаний, занимающихся страхованием имущества/от несчастных случаев и жизнью, а также медицинским страхованием в 24 странах. Компания работает в Австрии, а также в регионе Центральной и Восточной Европы (ЦВЕ) и Юго-Восточной Европы (ЮВЕ), в который входят Албания, Беларусь, Болгария, Хорватия, Чехия, Эстония, Грузия, Венгрия, Латвия, Литва, Македония, Черногория, Польша, Румыния, Сербия, Словакия, Словения, Турция, Украина, Босния и Герцеговина. Компания также представлена ​​в Германии, Лихтенштейне и Италии.",
2346,US,MGPUF,GB00BKFB1C65,MGPUF.PK,M&G PLC,9.843492,PNK,122,Финансы,5,Страхование жизни и здоровья,0.0,3.9,,4.24,0.0,1.29,3.85,3.28,3.55,3.85,2.16,3.03,3.85,2.16,2.86,3.85,2.15,2.76,3.85,1.77,2.76,3.85,1.28,2.7,,"M&G plc — британская сберегательная и инвестиционная компания. Компания осуществляет свою деятельность в четырех сегментах: «Управление активами», «Жизнь» и «Корпоративный центр». Сегмент «Управление активами» включает возможности управления инвестициями, которые предлагаются как оптовым, так и институциональным клиентам. Сегмент управления активами также управляет значительной частью активов Life, которыми он управляет. Сегмент «Жизнь» работает на рынке сбережений и пенсий и включает в себя решения по корпоративным рискам, индивидуальную жизнь и пенсии, международные решения и консультации. Его отдельные продукты включают аннуитетные контракты: фиксированные аннуитеты, аннуитеты с фиксированным увеличением и аннуитеты, привязанные к инфляции. Эти продукты распространяются среди клиентов через посредников и консультантов и включают пенсионный счет (комбинированный продукт индивидуальной пенсии и снижения дохода), индивидуальные пенсии, индивидуальные сберегательные счета, коллективные инвестиции, а также ряд оншорных и оффшорных облигаций.",
2358,US,SCRYY,US80917Q1067,SCRYY.PK,Scor SE,6.72074,PNK,123,Финансы,2,Перестрахование,0.0,3.77,,4.04,3.26,3.71,3.73,2.95,3.32,3.73,2.31,3.11,3.73,1.82,2.88,3.73,1.82,2.84,3.73,1.32,2.8,4.92,1.32,3.27,,"SCOR SE — французская компания, занимающаяся перестрахованием жизни и иного, чем жизнь. Сегменты Компании включают перестрахование, кроме жизни, и перестрахование жизни. В ее подразделения входят SCOR Global P&C, SCOR Global Life и SCOR Global Investments. Сегмент страхования жизни компании разделен на четыре бизнес-направления: Договоры об имуществе и страховании; Специальные договоры; Бизнес-решения (андеррайтинг корпоративных счетов), а также деловые предприятия и партнерства. Охватывает все застрахованные риски промышленных групп и компаний сферы услуг (корпоративные счета). Направление деятельности Компании «Договоры об имуществе и ответственности» заключается в заключении договоров пропорционального и непропорционального перестрахования. Ее договоры о возмещении ущерба обычно охватывают первоначальные риски общей ответственности, ответственности за качество продукции или профессиональной ответственности. Сегмент Global Life компании страхует бизнес по перестрахованию жизни в таких продуктовых линейках, как защита, финансовые решения и долголетие.",
2361,US,WTM,BMG9618E1075,WTM.N,White Mountains Insurance Group Ltd,5.606413,NYS,124,Финансы,3,Страхование имущества и от несчастных случаев,0.0,2263.69,,2330.93,2128.5,2259.38,2110.43,1645.32,1869.91,2110.43,1645.32,1850.24,2110.43,1475.0,1810.27,2110.43,1319.05,1695.9,2110.43,981.02,1483.08,2110.43,629.5,1191.79,,"White Mountains Insurance Group, Ltd. — это диверсифицированная холдинговая компания по страхованию и сопутствующим финансовым услугам, которая владеет и управляет предприятиями, ищущими стабильного и опытного партнера для создания стоимости. В его сегменты входят Ark/WM Outrigger, HG Global и Kudu. В сегмент Ark/WM Outrigger входят Ark Insurance Holdings Limited и ее дочерние компании (Ark) и Outrigger Re Ltd. Ark — это специализированная компания по страхованию и перестрахованию имущества, от несчастных случаев и перестрахованию, которая предлагает широкий спектр нишевых продуктов по страхованию и перестрахованию, включая страхование имущества, специальное страхование, морское и энергетическое страхование, страхование от несчастных случаев, несчастных случаев и здоровья. Сегмент HG Global занимается перестрахованием муниципальных облигаций. Сегмент «Куду» состоит из ООО «Куду Инвестмент Менеджмент» и его дочерних компаний. Kudu предоставляет капитальные решения для управляющих активами и капиталом для различных целей, включая передачу собственности из поколения в поколение, выкуп управленческих акций, финансирование приобретений и роста, а также ликвидность устаревших партнеров.",
2363,US,SIGIP,US8163005031,SIGIP.O,Selective Insurance Group Inc,5.12543,NSQ,125,Финансы,4,Страхование имущества и от несчастных случаев,0.0,16.64,,16.65,15.82,16.27,18.71,16.66,17.49,18.74,16.61,17.53,20.3,16.61,18.12,20.3,15.17,17.72,27.36,15.17,19.63,27.36,15.17,19.73,,"Selective Insurance Group, Inc. — холдинговая компания, владеющая более чем 10 дочерними компаниями по страхованию имущества и страхованию от несчастных случаев, которые продают продукты и услуги только в Соединенных Штатах. Сегменты компании включают стандартные коммерческие линии, стандартные персональные линии, экосоциальные линии и инвестиции. Сегмент стандартных коммерческих линий включает продукты и услуги по страхованию имущества и от несчастных случаев для коммерческих предприятий, обычно предприятий, некоммерческих организаций и местных государственных учреждений. Сегмент Standard Personal Lines состоит из продуктов и услуг по страхованию имущества и от несчастных случаев, включая страхование от наводнений, продаваемое в рамках программы «Напиши свое» Национальной программы страхования от наводнений. Сегмент E&S Lines состоит из продуктов и услуг по страхованию имущества и от несчастных случаев для коммерческих клиентов, которые не могут получить страховое покрытие на стандартном рынке. Инвестиционный сегмент инвестирует страховые премии и суммы, полученные в результате реализации стратегий управления капиталом.",
2365,US,ELFIF,CA2685751075,ELFIF.PK,E-L Financial Corp Ltd,4.272189,PNK,126,Финансы,6,Страхование жизни и здоровья,0.0,12.38,,12.57,0.0,11.48,13.27,10.35,11.49,13.27,7.82,10.74,13.27,6.38,9.59,13.27,5.27,8.63,13.27,4.81,7.63,13.27,2.76,6.0,,"E-L Financial Corporation Limited — канадская инвестиционно-страховая холдинговая компания. Он работает в двух сегментах: EL Corporate и Empire Life. Корпоративный сегмент E-L включает надзор за инвестициями в глобальные акции, осуществляемыми через прямое и косвенное владение обыкновенными акциями, инвестиционными фондами, закрытыми инвестиционными компаниями и другими частными компаниями. Инвестиционная стратегия заключается в накоплении акционерной стоимости за счет долгосрочного прироста капитала, а также дивидендов и процентных доходов от инвестиций. Сегмент Empire Life гарантирует полисы страхования жизни и здоровья, а также предоставляет сегрегированные фонды и аннуитетные продукты. Сегмент предоставляет широкий спектр продуктов по страхованию жизни и управлению активами, планы льгот для сотрудников и финансовые услуги для удовлетворения потребностей частных лиц, специалистов и предприятий через сеть независимых финансовых консультантов (IFA), управляющих генеральных агентов (MGA), фирм с национальным счетом и брокеров и представителей групповых решений.",
2381,US,AHL,BMG053845019,AHL.N,Aspen Insurance Holdings Ltd,0.2094,NYS,127,Финансы,5,Страхование имущества и от несчастных случаев,0.0,37.5,,0.0,0.0,0.0,37.19,27.05,34.87,37.19,27.05,34.54,37.19,27.05,34.54,37.19,27.05,34.54,37.19,27.05,34.54,37.19,27.05,34.54,,"Aspen Insurance Holdings Limited — холдинговая компания со штаб-квартирой на Бермудских островах. Компания предоставляет страховое и перестраховочное покрытие клиентам на различных внутренних и мировых рынках через 100% дочерние компании на Бермудских островах, в США и Великобритании, а также через свои филиалы в Канаде, Сингапуре и Швейцарии. Он управляет своей андеррайтинговой деятельностью как два бизнес-сегмента: страхование и перестрахование. Сегмент «Страхование» страхует в первую очередь специализированные риски по разнообразным направлениям деятельности, связанным с имуществом и страхованием от несчастных случаев. Сегмент страхования разделен на четыре основных направления бизнеса: финансовое и профессиональное направления; линии потерь и ответственности; основные линии и специальные линии. Сегмент перестрахования разделен на четыре портфеля: перестрахование от несчастных случаев, перестрахование от имущественных катастроф, перестрахование прочего имущества и специализированное перестрахование. Перестрахование от несчастных случаев осуществляется на основе эксцедента убытка и на пропорциональной основе.",
2395,US,LCSHF,BMG5361W1047,LCSHF.PK,Lancashire Holdings Ltd,1.942555,PNK,128,Финансы,6,Страхование имущества и от несчастных случаев,0.0,7.45,,7.45,0.0,0.35,8.59,7.38,7.85,8.59,6.28,7.41,8.59,5.59,6.87,8.59,4.93,6.37,8.59,3.12,5.8,8.59,3.12,5.96,,"Lancashire Holdings Limited — мировой поставщик специализированных продуктов страхования и перестрахования, работающий на Бермудских островах, в Лондоне, США и Австралии. Компания работает в двух сегментах: перестрахование и страхование. Сегмент перестрахования включает перестрахование от несчастных случаев, перестрахование имущества и специализированное перестрахование. Перестрахование от несчастных случаев включает в себя перестрахование от несчастных случаев, профессиональных и финансовых линий, а также перестрахование от несчастных случаев и здоровья. Перестрахование имущества включает классы перестрахования, подверженные катастрофам, а также портфели договоров перестрахования сверхнормативных убытков и других имущественных договоров. Специализированное перестрахование включает предложения по перестрахованию для таких классов, как авиация, морское судоходство и энергетика, а также портфели ретроцессии имущества. Сегмент страхования включает авиационное страхование, страхование от несчастных случаев, энергетическое и морское страхование, страхование имущества и специальное страхование. Страхование от несчастных случаев включает подклассы страхования от несчастных случаев и медицинского страхования, а также небольшое количество профессиональных видов страхования.",
2398,US,TWFG,US87318A1016,TWFG.O,TWFG Inc,0.282705,NSQ,129,Финансы,6,Многолинейное страхование и брокеры,0.21,19.9,,20.56,17.39,18.96,35.69,23.52,28.04,36.85,23.52,29.83,36.85,21.31,29.49,36.85,21.31,29.49,36.85,21.31,29.49,36.85,21.31,29.49,,"TWFG, Inc. предоставляет независимую платформу распространения личного и коммерческого страхования в США. Его предложения полны и гибки, поскольку он предлагает все виды страхования, несколько вариантов дистрибьюторских контрактов, услуги по слияниям и поглощениям (M&A), запатентованные виртуальные помощники, запатентованные технологии, запатентованное премиальное финансирование, неограниченное непрерывное образование, программы признания, кооперативное финансирование, маркетинговую поддержку и в целом более низкие эксплуатационные расходы. Его бизнес-модель, разработанная агентами для агентов, обслуживает более 2500 агентств TWFG и предлагает особый уровень автономии и предпринимательских возможностей. Он предоставляет агентствам TWFG ресурсы, технологии, обучение и доступ к страховым компаниям для достижения успеха на все более сложном рынке. Его независимая дистрибьюторская платформа предлагает своим филиалам и управляющим генеральным агентствам (MGA) выбор контрактов для заключения с ней, включая контракты с филиалами, контракты MGA и контракты с производителями.",
2402,US,ROOT,US77664L2079,ROOT.O,Root Inc,0.86199,NSQ,130,Финансы,7,Страхование имущества и от несчастных случаев,0.27,54.48,,58.03,40.91,49.41,134.0,68.08,92.23,181.14,68.08,108.31,181.14,7.22,79.45,181.14,3.31,55.61,461.34,3.31,72.08,530.64,3.31,81.01,,"Root, Inc. — технологическая страховая компания. Он предоставляет клиентам страховые продукты напрямую потребителю. Он предлагает продукты страхования автомобилей и арендаторов, гарантированные Root Insurance Company и Root Property & Casualty. В основном он достигает клиентов через два канала: прямой и партнерский. Прямой канал увеличивает объем продаж для клиентов с высоким уровнем намерения, встречаясь с клиентами на платформах, которые они используют, таких как поисковые системы или отдельные торговые площадки, одновременно активно покупая страховку. Канал партнерства обеспечивает дифференцированный доступ к клиентам с высоким уровнем намерений, прежде всего в секторах автомобилестроения, финансовых услуг и независимых агентов. Он предоставляет продукты по страхованию автомобилей и арендаторов в основном через свои веб-сайты, мобильные приложения и партнерские каналы, включая встроенный страховой продукт и независимую агентскую платформу. Он использует свою платформу для сбора данных о клиентах, чтобы определить, стоит ли писать и как оценивать свои страховые продукты.",
